4,6,377022463672324,1,xy,明锐,17913,1,1,1_2
7,6,377022463672327,1,xy,途观,2219,1,1,1_2
8,6,377022463672328,1,xy,赛欧,2192,1,1,1_2
11,6,377022463672331,1,xy,蒙迪欧,2190,1,1,1_2
12,6,377022463672332,1,xy,火箭队,44055,1,1,1_2
13,6,377022463672333,1,xy,s2.成都熊猫基地,19439,1,1,1_2
15,6,377022463672335,1,xy,霸服3,3553,1,1,1_2
18,6,377022463672338,1,xy,炮灰2号,11120,1,1,1_2
19,6,377022463672339,1,xy,朗动,2198,1,1,1_2
22,6,377022463672342,1,xy,宝来,2190,1,1,1_2
24,6,377022463672344,1,xy,致炫,2222,1,1,1_2
26,6,377022463672346,1,xy,哥瑞,3948,1,1,1_2
27,6,377022463672347,1,xy,灵鹫宫,41537,1,1,1_2
28,6,377022463672348,1,xy,炮灰1号,51693,1,1,1_2
29,6,377022463672349,1,xy,至尊神剑,90312,1,1,1_2
30,6,377022463672350,1,xy,435,36760,1,1,1_2
31,6,377022463672351,1,xy,灰,42717,1,1,1_2
32,6,377022464720897,1,顺网,骑士团,3457,1,1,1
33,6,377022464720898,1,顺网,传说,1133,1,1,1
43,6,377022464720908,1,顺网,成都熊猫基地,18021,1,1,1
44,6,377022464720909,1,顺网,6546,21333,1,1,1
47,6,377022464720912,1,顺网,灵鹫宫,2058,1,1,1
48,6,377022464720913,1,顺网,传说天下3,3876,1,1,1
51,6,377022464983043,1,pptv,兰博基尼,1657,1,1,1
54,6,377022464983046,1,pptv,d,2548,1,1,1
61,6,377022464983053,1,pptv,我爱大家,4217,1,1,1
67,6,377022447812612,1,2144,皇帝家族,401823,1,1,1_16
